batch,Dec_CrossAttn_L0,Dec_CrossAttn_L1,Dec_CrossAttn_L2,Dec_CrossAttn_L3,Dec_CrossAttn_L4,Dec_CrossAttn_L5,Dec_FFN_L0,Dec_FFN_L1,Dec_FFN_L2,Dec_FFN_L3,Dec_FFN_L4,Dec_FFN_L5,Dec_SelfAttn_L0,Dec_SelfAttn_L1,Dec_SelfAttn_L2,Dec_SelfAttn_L3,Dec_SelfAttn_L4,Dec_SelfAttn_L5,Enc_FFN_L0,Enc_FFN_L1,Enc_FFN_L2,Enc_FFN_L3,Enc_FFN_L4,Enc_FFN_L5,Enc_SelfAttn_L0,Enc_SelfAttn_L1,Enc_SelfAttn_L2,Enc_SelfAttn_L3,Enc_SelfAttn_L4,Enc_SelfAttn_L5
batch 719,0.781264,0.636358,0.598705,0.620744,0.696679,0.615769,0.621145,0.486216,0.482275,0.540786,0.542920,0.794498,0.759349,0.219932,0.153506,0.125404,0.286242,0.418051,0.755645,0.562887,0.451630,0.468215,0.443332,0.454956,1.523627,0.721281,0.523414,0.460177,0.397354,0.362675
batch 720,0.790921,0.660042,0.604253,0.624330,0.725920,0.611343,0.578571,0.469547,0.466833,0.528484,0.522722,0.742223,0.713098,0.263489,0.172953,0.142553,0.273135,0.411485,0.672826,0.486843,0.447421,0.474897,0.433851,0.462615,1.438138,0.698061,0.538590,0.468685,0.433679,0.382575
batch 721,0.699182,0.625866,0.609219,0.619967,0.668000,0.587563,0.536444,0.462930,0.466345,0.519586,0.517076,0.751166,0.698126,0.228825,0.164602,0.130783,0.282214,0.411531,0.755989,0.551059,0.456884,0.485060,0.450032,0.472968,1.575895,0.750005,0.550430,0.454894,0.417619,0.368353
batch 722,0.927068,0.745700,0.636571,0.657121,0.724862,0.657135,0.652524,0.478487,0.480404,0.544486,0.528675,0.776643,0.946959,0.226247,0.177590,0.128648,0.294996,0.424440,0.780267,0.614709,0.523994,0.451235,0.362194,0.443766,1.524613,0.721582,0.485459,0.388574,0.348551,0.315658
batch 723,0.756827,0.647184,0.609522,0.648078,0.683458,0.611210,0.547702,0.458764,0.462765,0.521461,0.526863,0.773507,0.685410,0.265732,0.170153,0.143878,0.280640,0.416187,0.718229,0.524258,0.452483,0.457321,0.381429,0.457356,1.522180,0.771428,0.573013,0.465170,0.439859,0.401429
batch 724,0.805133,0.648509,0.635349,0.661171,0.750542,0.608317,0.525476,0.470878,0.465436,0.515218,0.502175,0.748904,0.764043,0.219910,0.175693,0.142441,0.307629,0.413455,0.729993,0.583028,0.494277,0.427551,0.392614,0.438221,1.380235,0.672177,0.512776,0.412551,0.397377,0.344212
batch 725,0.754466,0.633352,0.604947,0.606287,0.648801,0.597514,0.561595,0.458987,0.452784,0.523893,0.516512,0.767892,0.740153,0.263578,0.177114,0.151839,0.281834,0.418765,0.738929,0.563078,0.458554,0.425511,0.387519,0.452828,1.505607,0.772431,0.551345,0.446157,0.415096,0.388597
batch 726,0.762189,0.626640,0.605634,0.604608,0.682774,0.582275,0.563030,0.460030,0.455963,0.512065,0.512413,0.759085,0.704330,0.266318,0.170914,0.131542,0.273935,0.429508,0.642437,0.494486,0.439576,0.421803,0.386532,0.470731,1.358617,0.683770,0.515393,0.436562,0.418269,0.386999
batch 727,0.775369,0.632425,0.616780,0.648472,0.706274,0.595017,0.581142,0.463967,0.462090,0.528821,0.530271,0.784875,0.690732,0.243268,0.165985,0.150101,0.330284,0.420715,0.782518,0.559094,0.469302,0.484785,0.443063,0.463942,1.555121,0.757251,0.553574,0.461159,0.408081,0.350735
batch 728,0.909690,0.688716,0.682349,0.650337,0.704003,0.616024,0.645528,0.505110,0.489482,0.547624,0.534364,0.762261,0.880783,0.226755,0.161310,0.131386,0.277964,0.411981,0.749847,0.597710,0.471258,0.407304,0.376647,0.474600,1.527167,0.714857,0.502529,0.425382,0.402035,0.377744
batch 729,0.792939,0.630680,0.612978,0.620757,0.646822,0.583472,0.536669,0.452709,0.455036,0.519665,0.538960,0.734581,0.733676,0.244998,0.161914,0.130204,0.274309,0.398490,0.752510,0.579881,0.509517,0.423671,0.445778,0.425668,1.470133,0.734118,0.530862,0.438994,0.386140,0.327636
batch 730,0.796501,0.656358,0.599612,0.615459,0.664011,0.609350,0.564136,0.458735,0.459748,0.515734,0.534243,0.747633,0.749645,0.252907,0.166090,0.133350,0.279516,0.401467,0.797218,0.598133,0.537636,0.446442,0.380930,0.454263,1.692633,0.838163,0.569857,0.470399,0.418851,0.362573
batch 731,0.855142,0.692267,0.644506,0.649738,0.705195,0.610424,0.588575,0.481793,0.477564,0.518350,0.518464,0.776853,0.862107,0.232686,0.173153,0.133560,0.291025,0.413322,0.798131,0.619254,0.508609,0.448514,0.415839,0.447214,1.452749,0.728930,0.478210,0.436862,0.358507,0.328124
batch 732,0.768909,0.622359,0.585861,0.612337,0.700570,0.575001,0.529227,0.443908,0.457326,0.511508,0.519503,0.734187,0.706891,0.223348,0.164807,0.132587,0.260813,0.397655,0.716249,0.535820,0.495158,0.432359,0.398395,0.464112,1.570951,0.729501,0.512629,0.444639,0.441690,0.388229
batch 733,0.715462,0.616657,0.596629,0.619865,0.680604,0.603296,0.567237,0.451884,0.460209,0.532455,0.525911,0.790861,0.680794,0.234476,0.167543,0.141667,0.279817,0.419961,0.728948,0.520068,0.434359,0.479500,0.472680,0.448783,1.525649,0.747597,0.540200,0.451655,0.424650,0.371906
batch 734,0.720831,0.630024,0.607348,0.643792,0.659927,0.563712,0.545396,0.457993,0.457408,0.513969,0.522845,0.715545,0.681634,0.252622,0.168919,0.142926,0.257908,0.372216,0.755792,0.570412,0.487538,0.430471,0.384717,0.446109,1.536453,0.767172,0.553870,0.474984,0.423577,0.383531
batch 735,0.828427,0.620522,0.592719,0.583255,0.653886,0.576589,0.590207,0.478309,0.472132,0.520748,0.513526,0.749300,0.759166,0.267007,0.175943,0.130422,0.251731,0.422490,0.701631,0.515919,0.449642,0.512215,0.448760,0.448881,1.508875,0.710777,0.536223,0.437684,0.419668,0.358313
batch 736,0.746438,0.623327,0.606877,0.612733,0.683655,0.595900,0.548775,0.461130,0.480205,0.534989,0.504858,0.751899,0.680385,0.233328,0.168368,0.136658,0.270387,0.416166,0.710584,0.549184,0.475517,0.458723,0.408771,0.466355,1.417679,0.711955,0.545959,0.453110,0.420210,0.368741
batch 737,0.824327,0.641996,0.620768,0.618615,0.704622,0.599905,0.623623,0.498448,0.494908,0.562278,0.550131,0.716314,0.838352,0.252857,0.167281,0.130031,0.266047,0.383291,0.726246,0.540422,0.469787,0.410639,0.375059,0.489473,1.532058,0.708182,0.505724,0.452048,0.402605,0.350835
batch 738,0.817360,0.636744,0.624343,0.634548,0.733954,0.635785,0.589375,0.481248,0.477568,0.531129,0.514849,0.728518,0.776445,0.241876,0.171979,0.138401,0.279242,0.396269,0.696001,0.520498,0.492031,0.471568,0.378530,0.480465,1.497985,0.701491,0.506150,0.450294,0.404986,0.380975
batch 739,0.866335,0.669169,0.625541,0.592142,0.637021,0.579532,0.613196,0.477744,0.473981,0.506974,0.514695,0.741444,0.806076,0.237111,0.174549,0.147296,0.261422,0.391772,0.720650,0.636371,0.537772,0.426238,0.368671,0.427286,1.493668,0.775918,0.513999,0.418648,0.405803,0.351000
batch 740,0.870683,0.696867,0.631269,0.659432,0.712477,0.643580,0.579860,0.484400,0.488068,0.547663,0.529121,0.765808,0.847977,0.236620,0.183792,0.136500,0.278146,0.412596,0.788998,0.624086,0.515878,0.446810,0.390537,0.432124,1.550168,0.722884,0.516692,0.437454,0.360899,0.321932
batch 741,0.732021,0.610010,0.583440,0.587032,0.636394,0.563817,0.578197,0.460309,0.468442,0.527664,0.520235,0.745393,0.685136,0.249156,0.168260,0.143858,0.250629,0.401057,0.711003,0.531503,0.474056,0.485311,0.428465,0.440758,1.491754,0.734339,0.532980,0.436643,0.412698,0.371367
batch 742,0.890091,0.697179,0.652595,0.663235,0.707154,0.640763,0.601259,0.480288,0.478620,0.561724,0.532061,0.772141,0.847462,0.214284,0.183428,0.126099,0.285495,0.415103,0.772591,0.559832,0.501963,0.444319,0.397451,0.450453,1.588207,0.697597,0.501061,0.427854,0.364213,0.317524
batch 743,0.795142,0.650679,0.605246,0.601425,0.686944,0.585568,0.547555,0.460986,0.466203,0.519475,0.508125,0.733663,0.736349,0.250109,0.176012,0.142760,0.283111,0.390266,0.758825,0.552864,0.489947,0.473567,0.414974,0.481328,1.563693,0.748833,0.566139,0.491918,0.404470,0.362023
batch 744,0.883406,0.688542,0.634107,0.595744,0.608105,0.581018,0.654894,0.471628,0.468559,0.530867,0.549122,0.727114,0.893718,0.210630,0.159310,0.118301,0.256212,0.379294,0.832396,0.648664,0.526402,0.438000,0.386120,0.392794,1.515084,0.650057,0.470494,0.392554,0.348512,0.301509
batch 745,0.788836,0.664824,0.646241,0.631677,0.664639,0.589569,0.584512,0.474729,0.473140,0.528064,0.536966,0.750984,0.768069,0.234927,0.170638,0.126018,0.268666,0.406517,0.766785,0.551051,0.502049,0.443600,0.400392,0.505819,1.624419,0.723036,0.527442,0.469672,0.416024,0.355895
batch 746,0.850907,0.661111,0.579054,0.576431,0.644417,0.575140,0.603463,0.472829,0.471311,0.523025,0.536761,0.733440,0.801237,0.239406,0.157051,0.134588,0.265053,0.381845,0.760674,0.594345,0.548463,0.416013,0.386764,0.464938,1.627545,0.707566,0.547099,0.431531,0.392175,0.329978
batch 747,0.736110,0.602958,0.595761,0.601526,0.643204,0.569048,0.567669,0.453691,0.444243,0.512172,0.536030,0.759675,0.685834,0.239251,0.159485,0.137003,0.274778,0.404508,0.731902,0.532454,0.471157,0.459952,0.432490,0.483488,1.523934,0.749981,0.542160,0.447412,0.417229,0.381411
batch 748,0.798777,0.637936,0.643337,0.649045,0.748522,0.651335,0.554333,0.467709,0.472321,0.529334,0.513716,0.729979,0.721591,0.241019,0.172847,0.136902,0.302971,0.402806,0.732328,0.529094,0.487339,0.450052,0.385860,0.461051,1.422898,0.707104,0.543809,0.469037,0.405062,0.351277
batch 749,0.721278,0.626007,0.599530,0.599577,0.680080,0.599351,0.529125,0.454093,0.458968,0.509256,0.506531,0.764826,0.647157,0.273357,0.179283,0.156359,0.267810,0.417951,0.678278,0.508561,0.446947,0.447649,0.375447,0.452211,1.438061,0.728819,0.544972,0.463048,0.439082,0.384906
batch 750,0.813578,0.680895,0.630546,0.638751,0.686054,0.593495,0.591581,0.466462,0.465229,0.526381,0.527326,0.726085,0.750033,0.237813,0.165921,0.130880,0.269323,0.381157,0.760035,0.565821,0.481922,0.422628,0.420191,0.449828,1.568870,0.711325,0.549892,0.451929,0.394837,0.365651
batch 751,0.764572,0.626096,0.605316,0.617991,0.695784,0.575759,0.555559,0.465230,0.466553,0.526065,0.500164,0.730488,0.712905,0.248848,0.167344,0.130893,0.264488,0.390876,0.709756,0.519779,0.492690,0.447233,0.408985,0.463470,1.524839,0.715567,0.545282,0.463513,0.428988,0.379996
batch 752,0.781839,0.655804,0.613541,0.613216,0.671296,0.604014,0.540255,0.454441,0.459034,0.523219,0.532575,0.757900,0.820667,0.259039,0.161158,0.136559,0.278454,0.414948,0.778527,0.602197,0.550627,0.450786,0.419691,0.445461,1.573535,0.777157,0.560015,0.451031,0.399706,0.338145
batch 753,0.840670,0.652648,0.614664,0.637858,0.727514,0.617106,0.633899,0.494952,0.481219,0.554596,0.521795,0.698586,0.840602,0.259212,0.164283,0.131056,0.286890,0.372631,0.753379,0.570473,0.515638,0.439061,0.425472,0.486072,1.565193,0.696483,0.503102,0.437058,0.374846,0.347166
batch 754,0.773381,0.655605,0.613472,0.621095,0.680498,0.584326,0.566533,0.470864,0.475795,0.531600,0.519919,0.763335,0.692526,0.246351,0.172806,0.143714,0.273029,0.411199,0.715554,0.543047,0.491354,0.457858,0.386013,0.448034,1.564966,0.758189,0.557056,0.455690,0.434259,0.393661
batch 755,0.905837,0.680050,0.647814,0.654982,0.742981,0.601630,0.590541,0.472320,0.474331,0.519184,0.519888,0.757442,0.812371,0.224067,0.180149,0.131506,0.281188,0.417530,0.693679,0.539452,0.502983,0.451305,0.422953,0.476321,1.368706,0.677750,0.498639,0.449025,0.376694,0.370078
batch 756,0.717753,0.618991,0.625007,0.622926,0.676389,0.604536,0.535317,0.463225,0.461956,0.524460,0.517008,0.765696,0.677361,0.243856,0.171503,0.133096,0.276838,0.423295,0.707600,0.542626,0.465882,0.446000,0.385410,0.471560,1.492391,0.736457,0.553515,0.453547,0.420088,0.395321
batch 757,0.806240,0.665278,0.612106,0.634137,0.685685,0.613486,0.582824,0.483313,0.474149,0.532202,0.525024,0.731800,0.812759,0.252161,0.183120,0.144700,0.279640,0.395835,0.741574,0.550274,0.482314,0.439389,0.383975,0.495135,1.575561,0.712560,0.560038,0.485176,0.425297,0.381604
batch 758,0.866005,0.660919,0.631180,0.622371,0.717847,0.569771,0.599855,0.475867,0.473334,0.549295,0.523054,0.746243,0.885481,0.230074,0.159112,0.144391,0.276187,0.386384,0.780489,0.640631,0.536205,0.478047,0.395230,0.436049,1.561657,0.761466,0.523488,0.404581,0.362283,0.309680
batch 759,0.859338,0.678556,0.612206,0.612681,0.698113,0.613957,0.616226,0.461049,0.461796,0.528895,0.545876,0.738708,0.840633,0.236559,0.168078,0.136714,0.273023,0.382800,0.804103,0.660041,0.549265,0.429621,0.408811,0.433163,1.540896,0.739775,0.496753,0.409401,0.348015,0.317767
batch 760,0.841053,0.647312,0.593940,0.606089,0.671268,0.580545,0.550849,0.448214,0.447121,0.508950,0.507371,0.713395,0.752636,0.256860,0.166432,0.136824,0.271004,0.383757,0.764439,0.626543,0.551799,0.419650,0.404541,0.442710,1.593935,0.766890,0.549164,0.429689,0.399411,0.350662
batch 761,0.841712,0.638017,0.599551,0.605427,0.665411,0.562410,0.634470,0.487020,0.485388,0.551713,0.533232,0.743143,0.828786,0.263876,0.174425,0.137348,0.264283,0.394902,0.722159,0.552821,0.496895,0.441731,0.382704,0.458144,1.490163,0.732774,0.550740,0.459400,0.403472,0.365872
batch 762,0.715450,0.607075,0.578892,0.584634,0.698744,0.593641,0.523642,0.455429,0.457433,0.514501,0.508098,0.748042,0.627047,0.258513,0.177176,0.141924,0.296274,0.410629,0.699298,0.514807,0.452952,0.449866,0.404971,0.445332,1.423165,0.766784,0.554685,0.448664,0.414993,0.365319
batch 763,0.762799,0.613454,0.614183,0.625418,0.678519,0.576464,0.559661,0.453141,0.461997,0.525532,0.524974,0.724496,0.711378,0.262679,0.166572,0.132554,0.282078,0.384637,0.726214,0.543921,0.461775,0.418577,0.370203,0.487230,1.450303,0.703809,0.527812,0.469776,0.414817,0.382067
batch 764,0.779039,0.639713,0.612026,0.617453,0.688733,0.576738,0.559555,0.472755,0.469984,0.520808,0.513846,0.739644,0.742847,0.244536,0.174658,0.135774,0.275018,0.391791,0.763257,0.598661,0.506116,0.416520,0.370692,0.439807,1.519935,0.743617,0.541978,0.450769,0.403241,0.360912
batch 765,0.804981,0.654265,0.600221,0.621008,0.660250,0.572062,0.541954,0.465627,0.472623,0.531853,0.526482,0.729740,0.764163,0.219338,0.167605,0.129232,0.271478,0.382904,0.736108,0.620457,0.522020,0.463106,0.419481,0.406038,1.557585,0.779862,0.541653,0.448351,0.374601,0.327839
batch 766,0.763957,0.611997,0.591460,0.605251,0.667870,0.572669,0.561616,0.459602,0.456343,0.520992,0.513216,0.701191,0.708234,0.259352,0.167612,0.133255,0.274305,0.364638,0.738101,0.533584,0.493734,0.441086,0.379766,0.490142,1.505448,0.722801,0.541746,0.457112,0.423230,0.360831
batch 767,0.957204,0.706437,0.644490,0.630684,0.663881,0.601842,0.642313,0.497191,0.481716,0.543695,0.544854,0.790700,0.928338,0.221307,0.159461,0.126726,0.280630,0.423233,0.829061,0.620903,0.510786,0.455285,0.403594,0.451078,1.719652,0.744550,0.527111,0.432463,0.353742,0.331179
batch 768,0.791730,0.631173,0.620056,0.620413,0.721723,0.626835,0.524563,0.459369,0.459223,0.526619,0.522966,0.738438,0.757903,0.222151,0.155711,0.135286,0.280938,0.403859,0.760817,0.560042,0.485167,0.398116,0.347636,0.491497,1.358741,0.692726,0.489544,0.430371,0.378466,0.346895
batch 769,0.803965,0.658321,0.630619,0.628214,0.686102,0.558682,0.600712,0.472756,0.465984,0.523616,0.534252,0.716568,0.776965,0.240051,0.161587,0.139557,0.262785,0.391900,0.751531,0.590312,0.520503,0.446348,0.404446,0.466788,1.532033,0.738830,0.527928,0.485677,0.402330,0.358188
batch 770,0.850580,0.654699,0.631445,0.653090,0.781919,0.650803,0.581144,0.471470,0.472425,0.527419,0.513863,0.742396,0.829740,0.216090,0.163455,0.132709,0.293638,0.404629,0.755164,0.594057,0.537833,0.462805,0.439652,0.455073,1.549737,0.744270,0.522205,0.431813,0.357989,0.313644
batch 771,0.783485,0.640568,0.620147,0.618874,0.690258,0.608453,0.547997,0.463130,0.467389,0.532481,0.534422,0.737816,0.738574,0.264742,0.177100,0.143606,0.309450,0.403612,0.758529,0.565187,0.492142,0.425998,0.385823,0.461439,1.524421,0.756340,0.551329,0.461964,0.410942,0.365497
batch 772,0.738493,0.631959,0.591536,0.636240,0.721159,0.612251,0.525272,0.465248,0.457365,0.516366,0.511073,0.732414,0.680013,0.230682,0.179304,0.131592,0.271775,0.399798,0.696785,0.501852,0.444614,0.433526,0.393622,0.481997,1.378943,0.669709,0.544796,0.465557,0.412741,0.374174
batch 773,0.819595,0.645857,0.598640,0.600285,0.681379,0.591997,0.559341,0.455535,0.474285,0.530820,0.522001,0.758129,0.722447,0.237460,0.177955,0.136518,0.270633,0.412136,0.728866,0.557684,0.486620,0.422074,0.380210,0.464193,1.463113,0.687771,0.502229,0.451364,0.401986,0.359277
batch 774,0.748768,0.630425,0.610472,0.626121,0.669750,0.594365,0.564547,0.460061,0.454077,0.528532,0.527570,0.737440,0.701731,0.243723,0.176061,0.140253,0.272470,0.404320,0.721291,0.541969,0.489894,0.436723,0.391022,0.460815,1.490703,0.755348,0.552130,0.459499,0.431493,0.383447
batch 775,0.747357,0.644583,0.632181,0.651421,0.733619,0.631719,0.527786,0.470932,0.481451,0.541196,0.518787,0.786628,0.717746,0.245643,0.173498,0.143084,0.294013,0.433232,0.728941,0.578448,0.493196,0.442072,0.372976,0.468605,1.540704,0.757135,0.570288,0.470369,0.431177,0.396283
batch 776,0.748129,0.625957,0.609068,0.619149,0.701405,0.591953,0.557559,0.470526,0.465143,0.521259,0.519036,0.761238,0.681376,0.237908,0.169356,0.136639,0.273078,0.404715,0.707939,0.535875,0.463033,0.432934,0.385057,0.469987,1.533380,0.725866,0.553003,0.461519,0.419794,0.380717
batch 777,0.805008,0.651591,0.623848,0.612577,0.706609,0.610084,0.570353,0.480525,0.475353,0.528257,0.522981,0.780612,0.784667,0.255439,0.169327,0.139029,0.287925,0.434455,0.694201,0.539930,0.458871,0.454939,0.403924,0.452760,1.473040,0.710976,0.533696,0.459209,0.408366,0.368827
batch 778,0.732814,0.627927,0.613164,0.620081,0.702574,0.627130,0.533085,0.458770,0.462321,0.520941,0.511237,0.768420,0.690708,0.247346,0.161914,0.138236,0.286960,0.423309,0.704443,0.531449,0.463963,0.433989,0.363147,0.467911,1.462026,0.732682,0.541641,0.454969,0.404074,0.377434
batch 779,0.931348,0.722147,0.681157,0.671604,0.792339,0.625277,0.590522,0.494271,0.489181,0.530511,0.510893,0.762572,0.904903,0.221176,0.177156,0.125840,0.295758,0.408288,0.811260,0.574624,0.491396,0.419284,0.447962,0.459227,1.562224,0.628399,0.494464,0.392510,0.357946,0.315296
batch 780,0.801567,0.652313,0.638888,0.641852,0.696865,0.599464,0.571941,0.473010,0.472235,0.537550,0.518191,0.764882,0.741805,0.244390,0.172378,0.138528,0.280754,0.416529,0.776991,0.555354,0.492329,0.451859,0.422320,0.442108,1.575431,0.760870,0.565828,0.458651,0.430242,0.384113
batch 781,0.667309,0.606557,0.567193,0.590096,0.668039,0.588404,0.529263,0.444946,0.452546,0.511779,0.518908,0.751186,0.619224,0.271015,0.179984,0.142083,0.292045,0.401769,0.712200,0.505259,0.427701,0.458408,0.427409,0.477057,1.443436,0.732866,0.540936,0.442949,0.425403,0.383481
batch 782,0.812651,0.653281,0.621807,0.626413,0.704995,0.612528,0.575828,0.475368,0.478694,0.537045,0.515587,0.777720,0.739521,0.274296,0.172218,0.145891,0.293290,0.428594,0.719755,0.533129,0.469376,0.437209,0.389234,0.473057,1.446788,0.710992,0.538106,0.476821,0.409632,0.374196
batch 783,0.775509,0.657280,0.619432,0.622583,0.708188,0.601408,0.546445,0.469653,0.471668,0.536346,0.505510,0.759555,0.715583,0.247867,0.178638,0.142335,0.282832,0.419200,0.725978,0.544350,0.486171,0.425193,0.399978,0.482714,1.539884,0.732345,0.534320,0.476400,0.418645,0.379283
batch 784,0.746381,0.613229,0.613417,0.616063,0.709958,0.603747,0.544380,0.477167,0.477532,0.540317,0.509530,0.779511,0.674133,0.243752,0.174693,0.133696,0.277982,0.426146,0.672308,0.520136,0.470996,0.454616,0.403401,0.474258,1.445268,0.712959,0.532337,0.463227,0.424968,0.374823
batch 785,0.767810,0.653813,0.617133,0.638832,0.695907,0.602462,0.576843,0.477212,0.467244,0.544549,0.529823,0.751296,0.750383,0.261308,0.168010,0.140042,0.281266,0.405213,0.703674,0.531534,0.466463,0.440540,0.415136,0.450375,1.500788,0.754917,0.574224,0.482398,0.423775,0.388193
batch 786,0.770875,0.642629,0.596668,0.594877,0.699737,0.581734,0.570787,0.468170,0.471329,0.517101,0.522814,0.739673,0.721681,0.295658,0.192677,0.175705,0.315294,0.403043,0.677321,0.509357,0.455013,0.453488,0.411671,0.469395,1.385288,0.710069,0.562145,0.447474,0.421161,0.382504
batch 787,0.823036,0.637034,0.602546,0.602573,0.648522,0.539932,0.623503,0.493175,0.484084,0.538253,0.537383,0.700712,0.825545,0.234859,0.174254,0.147190,0.256816,0.351479,0.787607,0.588996,0.519631,0.452454,0.403986,0.442063,1.650026,0.772962,0.564659,0.452898,0.394664,0.329741
batch 788,0.729898,0.611548,0.570406,0.586268,0.634759,0.553922,0.547492,0.441750,0.459275,0.509961,0.496932,0.736683,0.708327,0.254770,0.177210,0.162182,0.279459,0.390655,0.739787,0.554344,0.509780,0.413600,0.428809,0.459624,1.447948,0.700960,0.501579,0.437609,0.383175,0.348570
batch 789,0.695669,0.599159,0.575501,0.611945,0.688060,0.598613,0.512572,0.443224,0.445995,0.513233,0.499774,0.740293,0.637023,0.242889,0.170281,0.139191,0.265361,0.401232,0.712955,0.546742,0.473541,0.466848,0.411340,0.463824,1.537240,0.720975,0.540939,0.469241,0.426914,0.382018
batch 790,0.817961,0.645606,0.622447,0.600908,0.666218,0.581075,0.586634,0.456110,0.464293,0.523219,0.503984,0.726774,0.776111,0.233259,0.165640,0.139918,0.256631,0.386664,0.781900,0.586645,0.563658,0.434442,0.407584,0.450497,1.564400,0.713271,0.535736,0.427407,0.378876,0.333362
batch 791,0.831104,0.654872,0.638250,0.649242,0.730468,0.608945,0.581018,0.474040,0.488577,0.528662,0.541017,0.793012,0.774610,0.238946,0.156795,0.130172,0.289860,0.424570,0.742512,0.556373,0.485921,0.450167,0.396357,0.464760,1.464425,0.709718,0.519315,0.453408,0.393418,0.348244
batch 792,0.786702,0.640430,0.609392,0.602754,0.658348,0.617160,0.623730,0.485891,0.480079,0.541419,0.527078,0.771601,0.806002,0.277026,0.193048,0.139418,0.308507,0.427506,0.734582,0.549290,0.482545,0.440859,0.380116,0.487363,1.508287,0.736921,0.557960,0.460650,0.422491,0.375049
batch 793,0.841696,0.686276,0.627545,0.641636,0.736403,0.622028,0.568695,0.468779,0.477464,0.527572,0.522236,0.738655,0.803131,0.214800,0.166467,0.126750,0.277009,0.394747,0.790578,0.584130,0.490037,0.444945,0.403765,0.465714,1.589892,0.737225,0.521872,0.448789,0.368034,0.348504
batch 794,0.887010,0.693318,0.656233,0.630946,0.753050,0.670666,0.605793,0.476991,0.481012,0.534213,0.538112,0.724797,0.865771,0.218059,0.181058,0.124584,0.288014,0.406498,0.752724,0.553506,0.533265,0.418734,0.419831,0.463147,1.486358,0.727027,0.521919,0.409920,0.361348,0.347958
batch 795,0.793230,0.635723,0.615679,0.604462,0.670892,0.601841,0.596027,0.469945,0.465488,0.524653,0.517654,0.759370,0.738728,0.259505,0.161493,0.126611,0.267184,0.424247,0.723779,0.533800,0.489543,0.455693,0.393643,0.486591,1.556061,0.707503,0.511061,0.466388,0.421800,0.382223
batch 796,0.816840,0.648479,0.617715,0.614824,0.644029,0.581221,0.592694,0.468098,0.463735,0.520618,0.528428,0.753689,0.738273,0.253163,0.184730,0.146827,0.273800,0.398731,0.731372,0.557565,0.493674,0.399493,0.400691,0.451545,1.404392,0.740805,0.530601,0.452028,0.413864,0.363487
batch 797,0.736018,0.617145,0.595057,0.603451,0.689111,0.577639,0.543486,0.475181,0.456497,0.515987,0.508337,0.750322,0.697188,0.254649,0.188228,0.143533,0.271576,0.397468,0.701784,0.539112,0.451229,0.423149,0.397640,0.472155,1.519956,0.730625,0.563865,0.459928,0.423429,0.410059
batch 798,0.813914,0.657028,0.616984,0.616162,0.694174,0.595927,0.578485,0.472581,0.474781,0.542162,0.516088,0.755169,0.803862,0.242812,0.192088,0.141168,0.269690,0.404848,0.766672,0.586394,0.492620,0.443424,0.393633,0.420252,1.524064,0.728230,0.524502,0.462225,0.372433,0.342073
batch 799,0.842799,0.691774,0.650711,0.627773,0.753781,0.657738,0.612844,0.480924,0.480811,0.549201,0.540076,0.783533,0.850499,0.229678,0.174991,0.140403,0.297015,0.439051,0.769573,0.615561,0.517981,0.430295,0.411929,0.480047,1.573227,0.731288,0.526197,0.411623,0.393900,0.329949
batch 800,0.849053,0.650899,0.633938,0.640691,0.734694,0.642948,0.610305,0.491898,0.486450,0.539907,0.531156,0.794313,0.824675,0.244852,0.169642,0.148815,0.285120,0.438760,0.712945,0.541197,0.472974,0.464767,0.418130,0.473531,1.472540,0.711455,0.523381,0.467076,0.405234,0.345108
batch 801,0.794762,0.644038,0.613829,0.611575,0.663079,0.575359,0.575873,0.470215,0.462443,0.526242,0.516253,0.768477,0.777121,0.239702,0.174773,0.137490,0.290132,0.420113,0.716257,0.533136,0.505270,0.430332,0.371585,0.488621,1.577439,0.726636,0.545396,0.484021,0.428274,0.367692
batch 802,0.726128,0.623572,0.591489,0.625729,0.690928,0.601228,0.538808,0.469998,0.460348,0.525637,0.526266,0.750912,0.697407,0.246511,0.183810,0.144738,0.274876,0.399292,0.750422,0.558695,0.485930,0.425012,0.402914,0.460260,1.559154,0.763047,0.543092,0.472541,0.426936,0.384620
batch 803,0.803491,0.687106,0.635653,0.681255,0.739213,0.622589,0.564504,0.480850,0.475187,0.538348,0.517331,0.770204,0.808169,0.235238,0.165668,0.143154,0.279921,0.421723,0.762842,0.529552,0.473480,0.430399,0.446503,0.474101,1.575795,0.683941,0.544004,0.470799,0.426251,0.371552
batch 804,0.761092,0.631624,0.598505,0.634114,0.710615,0.587982,0.575200,0.461837,0.466428,0.532367,0.541052,0.770175,0.706678,0.248037,0.164722,0.139582,0.287391,0.415203,0.739600,0.528289,0.468942,0.490645,0.415291,0.470820,1.573505,0.742907,0.556699,0.459807,0.419403,0.379701
batch 805,0.742498,0.646479,0.621229,0.635581,0.700238,0.586905,0.536258,0.467000,0.467577,0.525968,0.504515,0.761721,0.718602,0.251859,0.172231,0.145878,0.272404,0.413414,0.764248,0.570327,0.487783,0.424519,0.374629,0.458908,1.528777,0.759627,0.567774,0.477474,0.418326,0.382134
