batch,Dec_CrossAttn_L0,Dec_CrossAttn_L1,Dec_CrossAttn_L2,Dec_CrossAttn_L3,Dec_CrossAttn_L4,Dec_CrossAttn_L5,Dec_FFN_L0,Dec_FFN_L1,Dec_FFN_L2,Dec_FFN_L3,Dec_FFN_L4,Dec_FFN_L5,Dec_SelfAttn_L0,Dec_SelfAttn_L1,Dec_SelfAttn_L2,Dec_SelfAttn_L3,Dec_SelfAttn_L4,Dec_SelfAttn_L5,Enc_FFN_L0,Enc_FFN_L1,Enc_FFN_L2,Enc_FFN_L3,Enc_FFN_L4,Enc_FFN_L5,Enc_SelfAttn_L0,Enc_SelfAttn_L1,Enc_SelfAttn_L2,Enc_SelfAttn_L3,Enc_SelfAttn_L4,Enc_SelfAttn_L5
batch 2538,0.789775,0.651789,0.613044,0.655056,0.727677,0.617522,0.548231,0.460707,0.474851,0.537632,0.517542,0.740146,0.855763,0.246609,0.168284,0.138390,0.283397,0.402370,0.777994,0.580101,0.460680,0.437888,0.447789,0.459251,1.569510,0.742429,0.547156,0.473694,0.403725,0.362413
batch 2539,0.820343,0.681994,0.620980,0.652038,0.705894,0.608871,0.581968,0.473630,0.478419,0.540431,0.521228,0.724228,0.802774,0.246243,0.175221,0.136656,0.286868,0.391652,0.721915,0.549986,0.503718,0.445938,0.416958,0.432232,1.534500,0.742297,0.553008,0.470300,0.400667,0.358312
batch 2540,0.823076,0.660872,0.650423,0.638919,0.711721,0.641812,0.601892,0.487127,0.484577,0.539451,0.523870,0.768035,0.828295,0.227430,0.169521,0.135525,0.294163,0.429544,0.727147,0.574826,0.476546,0.474154,0.405712,0.495521,1.553761,0.709495,0.537374,0.491284,0.399494,0.375685
batch 2541,0.740376,0.612014,0.575472,0.580264,0.671163,0.600011,0.576795,0.471024,0.464538,0.521072,0.505162,0.773218,0.710803,0.263256,0.176493,0.143271,0.276853,0.429702,0.700194,0.539260,0.452292,0.451573,0.399638,0.450441,1.540965,0.715722,0.521338,0.441693,0.417859,0.381826
batch 2542,0.735897,0.585015,0.584656,0.587629,0.689413,0.582535,0.559856,0.481086,0.473864,0.513609,0.502864,0.741579,0.699707,0.276858,0.178479,0.145030,0.257266,0.402000,0.725614,0.532743,0.474756,0.459900,0.398212,0.474056,1.509942,0.710957,0.529768,0.458940,0.424064,0.370746
batch 2543,0.756185,0.641363,0.601015,0.602976,0.687635,0.587251,0.553976,0.475029,0.473441,0.526464,0.510732,0.728470,0.723066,0.267537,0.169100,0.145844,0.268310,0.391893,0.684878,0.512433,0.460065,0.423212,0.405707,0.481933,1.470637,0.695151,0.522982,0.467133,0.424650,0.368341
batch 2544,0.683599,0.592219,0.565004,0.601001,0.657376,0.576105,0.520950,0.463739,0.454846,0.511176,0.496647,0.747669,0.659427,0.246382,0.160787,0.135711,0.255080,0.409359,0.660830,0.498227,0.438353,0.463467,0.395372,0.450581,1.413712,0.713261,0.552245,0.444612,0.421083,0.378627
batch 2545,0.814633,0.648419,0.588978,0.584403,0.645287,0.572763,0.567476,0.448963,0.454802,0.529836,0.560259,0.729304,0.740761,0.243911,0.169018,0.147336,0.265953,0.386524,0.795964,0.626600,0.549542,0.439409,0.458254,0.437456,1.590350,0.789941,0.546767,0.433668,0.391910,0.320558
batch 2546,0.854104,0.679010,0.617845,0.623130,0.716608,0.609111,0.624715,0.490808,0.485084,0.548532,0.527953,0.750116,0.828152,0.263561,0.178759,0.145033,0.290683,0.401198,0.803489,0.576910,0.508777,0.441025,0.407600,0.473422,1.571510,0.731275,0.541724,0.466356,0.390563,0.335579
batch 2547,0.800203,0.634597,0.631408,0.640097,0.682235,0.580481,0.554903,0.458981,0.463909,0.516475,0.536324,0.721249,0.779740,0.220582,0.168532,0.133928,0.277356,0.381146,0.782718,0.586356,0.497000,0.424852,0.402544,0.506445,1.552510,0.718503,0.527418,0.466416,0.389199,0.339811
batch 2548,0.737813,0.629474,0.594053,0.627867,0.730631,0.617693,0.536977,0.468546,0.468980,0.535658,0.526966,0.768235,0.691718,0.236272,0.165428,0.138448,0.284400,0.418112,0.695788,0.510399,0.459360,0.469238,0.408731,0.464460,1.469987,0.707255,0.535271,0.464141,0.419669,0.360242
